id,name,company,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
2248,Blue Dragon,MICROSOFT,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
2249,007: The World is not Enough,SONY,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92
2250,NCAA Football 11,MICROSOFT,X360,2010,Sports,Electronic Arts,0.86,0,0,0.06,0.92
2251,NHL 98,SONY,PS,1997,Sports,Electronic Arts,0.51,0.35,0,0.06,0.92
2252,FIFA Street,MICROSOFT,X360,2012,Sports,Electronic Arts,0.17,0.65,0,0.1,0.92
2253,EA Sports Active 2,SONY,PS3,2010,Sports,Electronic Arts,0.52,0.28,0,0.12,0.92
2254,SpongeBob SquarePants: The Yellow Avenger,SONY,PSP,2006,Action,THQ,0.55,0.21,0,0.16,0.92
2255,WWE SmackDown vs. Raw 2009,MICROSOFT,X360,2008,Fighting,THQ,0.58,0.26,0,0.08,0.92
2256,Dante's Inferno,MICROSOFT,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92
2257,Wipeout: In The Zone,MICROSOFT,X360,2011,Misc,Activision,0.87,0,0,0.05,0.92
2258,Space Jam,SONY,PS,1996,Sports,Acclaim Entertainment,0.51,0.35,0,0.06,0.92
2259,Kung Fu Panda,Nintendo,Wii,2008,Action,Activision,0.5,0.32,0,0.09,0.92
2260,Knockout Kings 2000,Nintendo,N64,1999,Fighting,Electronic Arts,0.63,0.27,0,0.02,0.92
2261,Balloon Fight,Nintendo,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
2263,Disney Magical World,Nintendo,3DS,2013,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92
2264,Crysis 3,MICROSOFT,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92
2265,Lego Batman 3: Beyond Gotham,SONY,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0,0.15,0.92
2266,Dynasty Warriors 7,SONY,PS3,2011,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92
2267,The Evil Within,SONY,PS3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
2268,MLB 12: The Show,SONY,PS3,2012,Sports,Sony Computer Entertainment,0.86,0,0,0.06,0.92
2269,Sonic Riders,Nintendo,GC,2006,Racing,Sega,0.71,0.18,0,0.03,0.92
2270,Starsky & Hutch,SONY,PS2,2003,Racing,Empire Interactive,0.45,0.35,0,0.12,0.92
2271,Tobal No.1,SONY,PS,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
2272,Lost Odyssey,MICROSOFT,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92
2273,MLB 15: The Show,SONY,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0,0.17,0.92
2274,Operation Flashpoint: Dragon Rising,SONY,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92
2275,Homefront,SONY,PS3,2011,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
2276,AMF Bowling Pinbusters!,Nintendo,Wii,2007,Sports,Bethesda Softworks,0.85,0,0,0.07,0.91
2277,Street Hoops,SONY,PS2,2002,Sports,Activision,0.45,0.35,0,0.12,0.91
2278,Avatar: The Game,SONY,PS3,2009,Action,Ubisoft,0.32,0.43,0,0.16,0.91
2279,Harvest Moon 3D: A New Beginning,Nintendo,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91
2280,Tom Clancy's EndWar,MICROSOFT,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91
2281,Knockout Kings 2002,SONY,PS2,2002,Sports,Electronic Arts,0.45,0.35,0,0.12,0.91
2282,Tokyo Xtreme Racer 3,SONY,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91
2283,LEGO Indiana Jones 2: The Adventure Continues,SONY,PS3,2009,Action,Activision,0.47,0.3,0,0.13,0.91
2284,Colin McRae Rally 2.0,SONY,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91
2285,Glover,Nintendo,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0,0.01,0.91
2286,MX vs. ATV Reflex,SONY,PS3,2009,Racing,THQ,0.52,0.26,0,0.12,0.91
2287,Minecraft: Story Mode,MICROSOFT,X360,2015,Adventure,Mojang,0.46,0.38,0,0.08,0.91
2288,Namco Museum,MICROSOFT,XB,2001,Misc,Unknown,0.77,0.11,0,0.04,0.91
2289,Marvel: Ultimate Alliance 2,MICROSOFT,X360,2009,Role-Playing,Activision,0.68,0.15,0,0.08,0.91
2291,Super Momotarou Dentetsu III,Nintendo,SNES,1994,Simulation,Hudson Soft,0,0,0.91,0,0.91
2292,Sonic Mega Collection Plus,MICROSOFT,XB,2004,Misc,Sega,0.61,0.26,0,0.04,0.91
2293,DJ Hero,SONY,PS3,2009,Misc,Activision,0.42,0.34,0,0.14,0.91
2294,Dragon Age: Inquisition,MICROSOFT,XOne,2014,Role-Playing,Electronic Arts,0.55,0.28,0,0.07,0.91
2295,The Simpsons Game,SONY,PS3,2007,Action,Electronic Arts,0.38,0.37,0,0.15,0.91
2296,Tiger Woods PGA Tour 2002,SONY,PS2,2002,Sports,Electronic Arts,0.44,0.35,0,0.12,0.9
2297,Rhythm Heaven,Nintendo,Wii,2006,Misc,Unknown,0.13,0,0.77,0.01,0.9
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,Nintendo,SNES,1996,Racing,ASCII Entertainment,0,0,0.9,0,0.9
2299,MLB 2005,SONY,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0,0.12,0.9
2300,SOCOM 4: U.S. Navy SEALs,SONY,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9
2301,Burnout Revenge,SONY,PS2,2005,Racing,Electronic Arts,0.75,0.03,0,0.12,0.9
2302,Buzz! Quiz TV,SONY,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.48,0,0.14,0.9
2303,We Ski & Snowboard,Nintendo,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.9
2304,Destruction Derby,SONY,PS,1995,Racing,Psygnosis,0.5,0.34,0,0.06,0.9
2306,Crysis 3,SONY,PS3,2013,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9
2307,3Xtreme,SONY,PS,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9
2308,Hot Shots Tennis,SONY,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9
2309,Sonic Heroes,MICROSOFT,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9
2310,Resistance: Retribution,SONY,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9
2311,Tiger Woods PGA Tour 12: The Masters,SONY,PS3,2011,Sports,Electronic Arts,0.52,0.26,0,0.12,0.9
2313,Madden NFL 99,Nintendo,N64,1998,Sports,Electronic Arts,0.84,0.05,0,0.01,0.9
2314,Spider-Man 3,SONY,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9
2315,James Bond 007: Agent Under Fire,MICROSOFT,XB,2002,Shooter,Electronic Arts,0.65,0.22,0,0.03,0.9
2316,Samba De Amigo,Nintendo,Wii,2008,Misc,Sega,0.42,0.37,0.01,0.1,0.9
2318,Pure,SONY,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0,0.14,0.9
2319,FIFA Soccer 09 All-Play,Nintendo,Wii,2008,Sports,Electronic Arts,0.29,0.52,0,0.09,0.9
2321,LittleBigPlanet Karting,SONY,PS3,2012,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9
2322,X-Men Legends,MICROSOFT,XB,2004,Role-Playing,Activision,0.62,0.24,0,0.04,0.9
2323,NBA Live 2005,MICROSOFT,XB,2004,Sports,Electronic Arts,0.81,0.05,0,0.04,0.9
2324,Harry Potter: Quidditch World Cup,SONY,PS2,2003,Sports,Electronic Arts,0.44,0.34,0,0.11,0.9
2325,The Biggest Loser: Ultimate Workout,MICROSOFT,X360,2010,Sports,THQ,0.73,0.1,0,0.06,0.9
2326,Madagascar,Nintendo,GBA,2005,Platform,Activision,0.62,0.24,0,0.03,0.89
2327,Call of Juarez: Bound in Blood,SONY,PS3,2009,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
2328,Killzone: Liberation,SONY,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.28,0,0.18,0.89
2329,Madden NFL 08,Nintendo,Wii,2007,Sports,Electronic Arts,0.82,0.01,0,0.07,0.89
2330,Blitz: The League,SONY,PS2,2005,Sports,Unknown,0.74,0.03,0,0.12,0.89
2331,LEGO Jurassic World,SONY,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89
2332,Castlevania: Circle of the Moon,Nintendo,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89
2334,Tiger Woods PGA Tour 06,SONY,PS2,2005,Sports,Electronic Arts,0.74,0.03,0,0.12,0.89
2335,Classic NES Series: The Legend of Zelda,Nintendo,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89
2336,The Jak and Daxter Collection,SONY,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.19,0,0.1,0.89
2337,Fire Emblem: The Sacred Stones,Nintendo,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89
2338,Pokemon Card GB2: Here Comes Team GR!,Nintendo,GB,2001,Strategy,Nintendo,0,0,0.89,0,0.89
2339,Finding Nemo,Nintendo,GC,2003,Action,THQ,0.69,0.18,0,0.02,0.89
2340,CSI: Hard Evidence,Nintendo,Wii,2008,Adventure,Ubisoft,0.36,0.43,0,0.1,0.89
2341,Ace Combat 2,SONY,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
2342,F1 2009,Nintendo,Wii,2009,Racing,Codemasters,0.15,0.63,0,0.11,0.89
2343,NFL 2K2,SONY,PS2,2001,Sports,Sega,0.44,0.34,0,0.11,0.89
2344,EA Sports UFC 2,SONY,PS4,2016,Sports,Electronic Arts,0.28,0.47,0,0.14,0.89
2345,Dissidia 012: Duodecim Final Fantasy,SONY,PSP,2011,Fighting,Square Enix,0.21,0.13,0.46,0.08,0.89
2346,LEGO Marvel Super Heroes,Nintendo,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89
2347,F1 2010,MICROSOFT,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.89
2348,Monster 4X4: World Circuit,Nintendo,Wii,2006,Racing,Ubisoft,0.81,0,0.01,0.07,0.89
2350,Wii Fit U,Nintendo,WiiU,2013,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89
2351,Kingdoms of Amalur: Reckoning,MICROSOFT,X360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89
2352,Call of Duty: Modern Warfare 3,Nintendo,Wii,2011,Shooter,Activision,0.6,0.21,0,0.08,0.89
2353,MLB 2001,SONY,PS,2000,Sports,Sony Computer Entertainment,0.49,0.34,0,0.06,0.89
2354,SingStar Anthems,SONY,PS2,2006,Misc,Sony Computer Entertainment,0,0.68,0,0.2,0.89
2355,Seiken Densetsu 3,Nintendo,SNES,1995,Role-Playing,SquareSoft,0,0,0.89,0,0.89
2356,Mega Man 8 Anniversary Collector's Edition,SONY,PS,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88
2357,WWE SmackDown vs. Raw 2011,MICROSOFT,X360,2010,Fighting,THQ,0.44,0.36,0,0.08,0.88
2358,Sleeping Dogs,MICROSOFT,X360,2012,Action,Square Enix,0.38,0.41,0.01,0.08,0.88
2361,Michael Jackson: The Experience,MICROSOFT,X360,2011,Misc,Ubisoft,0.62,0.2,0,0.07,0.88
2362,Ghostbusters: The Video Game,Nintendo,Wii,2009,Action,Atari,0.6,0.21,0,0.08,0.88
2363,Rock Band 3,MICROSOFT,X360,2010,Misc,MTV Games,0.73,0.1,0,0.06,0.88
2364,Resident Evil: Revelations,Nintendo,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88
2365,NBA 2K6,SONY,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0,0.11,0.88
2366,Buzz! The Mega Quiz,SONY,PS2,2007,Misc,Sony Computer Entertainment,0.32,0.06,0,0.5,0.88
2367,Endless Ocean: Blue World,Nintendo,Wii,2009,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.88
2368,Star Wars: Rebel Assault II - The Hidden Empire,SONY,PS,1996,Shooter,CTO SpA,0.49,0.33,0,0.06,0.88
2369,Just Cause 3,MICROSOFT,XOne,2015,Action,Square Enix,0.42,0.38,0,0.07,0.88
2370,Metal Gear Ac!d,SONY,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.88
2371,Cooking Mama: World Kitchen,Nintendo,Wii,2008,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88
2372,Tekken Tag Tournament 2,SONY,PS3,2012,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88
2373,ESPN NHL 2K5,SONY,PS2,2004,Sports,Global Star,0.43,0.33,0,0.11,0.88
2374,GRID,MICROSOFT,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.88
2375,Phantasy Star Portable 2,SONY,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.88
2376,Crimson Skies: High Road to Revenge,MICROSOFT,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0,0.03,0.87
2377,Spec Ops: Ranger Elite,SONY,PS,2001,Shooter,TalonSoft,0.49,0.33,0,0.06,0.87
2378,Gex,SONY,PS,1995,Platform,Crystal Dynamics,0.49,0.33,0,0.06,0.87
2379,NBA 2K14,MICROSOFT,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0,0.06,0.87
2380,DiRT,MICROSOFT,X360,2007,Racing,Codemasters,0.38,0.4,0,0.09,0.87
2381,Derby Stallion II,Nintendo,SNES,1994,Sports,ASCII Entertainment,0,0,0.87,0,0.87
2382,Gold's Gym: Dance Workout,Nintendo,Wii,2010,Sports,Ubisoft,0.71,0.11,0,0.06,0.87
2383,Red Faction: Guerrilla,MICROSOFT,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87
2384,Tom Clancy's Ghost Recon: Island Thunder,MICROSOFT,XB,2003,Shooter,Ubisoft,0.61,0.24,0,0.03,0.87
2385,Mercenaries 2: World in Flames,SONY,PS3,2008,Shooter,Electronic Arts,0.29,0.4,0.02,0.16,0.87
2386,Need for Speed: V-Rally,SONY,PS,1997,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87
2387,Kingdom Hearts Re: Chain of Memories,SONY,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,0.87
2388,Pictionary,Nintendo,Wii,2010,Puzzle,THQ,0.61,0.19,0,0.07,0.87
2389,NCAA Football 13,SONY,PS3,2012,Action,Electronic Arts,0.82,0,0,0.06,0.87
2390,Kingdoms of Amalur: Reckoning,SONY,PS3,2012,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.87
2391,NFL GameDay '97,SONY,PS,1996,Sports,Sony Computer Entertainment,0.48,0.33,0,0.06,0.87
2392,Beijing 2008,SONY,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.87
2393,The House of the Dead: Overkill,Nintendo,Wii,2009,Shooter,Sega,0.46,0.31,0.02,0.09,0.87
2394,Tony Hawk's Project 8,SONY,PS2,2006,Sports,Activision,0.72,0.03,0,0.12,0.87
2395,Injustice: Gods Among Us,SONY,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0,0.12,0.87
2396,NHL 2000,SONY,PS,1998,Sports,Electronic Arts,0.48,0.33,0,0.06,0.87
2397,Buzz! Master Quiz,SONY,PSP,2008,Misc,Sony Computer Entertainment,0.2,0.44,0,0.23,0.87
2398,Brothers in Arms: Hell's Highway,MICROSOFT,X360,2008,Shooter,Ubisoft,0.47,0.31,0,0.09,0.87
2399,Fight Night Round 2,SONY,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87
2402,Conflict: Desert Storm,MICROSOFT,XB,2002,Shooter,SCi,0.48,0.37,0,0.02,0.87
2403,Triple Play 2002,SONY,PS2,2002,Sports,Electronic Arts,0.43,0.33,0,0.11,0.87
2404,Vagrant Story,SONY,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
2405,Lemmings,SONY,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.52,0,0.23,0.87
2406,Warriors Orochi,SONY,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87
2407,Guitar Hero: Warriors of Rock,MICROSOFT,X360,2010,Misc,Activision,0.47,0.32,0,0.08,0.87
2409,Tales of Xillia 2,SONY,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07,0.87
2410,SingStar '90s,SONY,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0,0.18,0.87
2411,Monster Strike 3DS,Nintendo,3DS,2015,Action,"mixi, Inc",0,0,0.86,0,0.86
2412,Tomb Raider: Anniversary,Nintendo,Wii,2007,Action,Eidos Interactive,0.12,0.63,0,0.11,0.86
2413,Winning Eleven: Pro Evolution Soccer 2007,SONY,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86
2414,Darksiders II,SONY,PS3,2012,Action,THQ,0.35,0.37,0.01,0.14,0.86
2415,Ghostbusters: The Video Game,SONY,PS3,2009,Action,Sony Computer Entertainment,0.34,0.37,0,0.15,0.86
2417,The Lord of the Rings: War in the North,SONY,PS3,2008,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
2418,Rocky,SONY,PS2,2002,Fighting,Rage Software,0.42,0.33,0,0.11,0.86
2419,Dragon Quest VIII: Journey of the Cursed King,Nintendo,3DS,2015,Role-Playing,Square Enix,0,0,0.86,0,0.86
2420,Ford Racing,SONY,PS,2001,Racing,Empire Interactive,0.48,0.33,0,0.06,0.86
2421,Madden Football 64,Nintendo,N64,1997,Sports,Electronic Arts,0.81,0.04,0,0.01,0.86
2422,MLB 99,SONY,PS,1998,Sports,Sony Computer Entertainment,0.48,0.32,0,0.06,0.86
2423,Dragon Ball Z: Burst Limit,SONY,PS3,2008,Fighting,Atari,0.22,0.34,0.18,0.12,0.86
2424,The Lord of the Rings: War in the North,MICROSOFT,X360,2005,Action,Warner Bros. Interactive Entertainment,0.52,0.26,0,0.08,0.86
2426,2010 FIFA World Cup South Africa,MICROSOFT,X360,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09,0.86
2427,Dynasty Warriors 4: Xtreme Legends,SONY,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86
2428,Ninja Gaiden Sigma 2,SONY,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.86
2429,Forza Horizon 2,MICROSOFT,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0,0.07,0.85
2430,Skate 2,SONY,PS3,2009,Sports,Electronic Arts,0.46,0.26,0.01,0.12,0.85
2432,Army Men: Air Attack,SONY,PS,1999,Action,3DO,0.47,0.32,0,0.06,0.85
2433,Need for Speed: Nitro,Nintendo,Wii,2009,Racing,Electronic Arts,0.46,0.31,0,0.08,0.85
2434,Madden NFL 09 All-Play,Nintendo,Wii,2008,Sports,Electronic Arts,0.78,0.01,0,0.07,0.85
2435,NBA 2K8,MICROSOFT,X360,2007,Sports,Take-Two Interactive,0.79,0,0,0.07,0.85
2436,Far Cry: Primal,MICROSOFT,XOne,2016,Action,Ubisoft,0.46,0.32,0,0.07,0.85
2437,Street Fighter Alpha 2,SONY,PS,1996,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85
2438,Tiger Woods PGA Tour 2005,MICROSOFT,XB,2004,Sports,Electronic Arts,0.64,0.18,0,0.03,0.85
2439,Army of Two: The 40th Day,SONY,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85
2440,Blazing Angels: Squadrons of WWII,Nintendo,Wii,2007,Simulation,Ubisoft,0.74,0.04,0,0.06,0.85
2441,Castlevania III: Dracula's Curse,Nintendo,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
2443,Rampage World Tour,SONY,PS,1997,Action,GT Interactive,0.47,0.32,0,0.06,0.85
2444,Burnout Legends,SONY,PSP,2005,Racing,Electronic Arts,0.7,0.06,0,0.09,0.85
2445,WWE 2K15,SONY,PS3,2014,Sports,Take-Two Interactive,0.36,0.35,0,0.14,0.85
2446,Overwatch,MICROSOFT,XOne,2016,Shooter,Activision,0.52,0.25,0,0.08,0.85
2447,Ratatouille,SONY,PS2,2007,Action,THQ,0.31,0,0,0.53,0.85
2448,NFL GameDay,SONY,PS,1995,Sports,Sony Computer Entertainment,0.47,0.32,0,0.06,0.85
2449,Burnout 2: Point of Impact,SONY,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0,0.11,0.85
2450,Kirby: Planet Robobot,Nintendo,3DS,2016,Action,Nintendo,0.26,0.1,0.44,0.04,0.85
2451,Street Fighter EX3,SONY,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85
2452,Karaoke Revolution Glee,Nintendo,Wii,2010,Misc,Konami Digital Entertainment,0.52,0.25,0,0.07,0.85
2453,Sniper Elite V2,MICROSOFT,X360,2012,Shooter,505 Games,0.46,0.29,0.02,0.07,0.85
2454,Thief (2014),SONY,PS4,2014,Action,Square Enix,0.28,0.37,0.03,0.16,0.84
2455,Spider-Man 2,Nintendo,GC,2004,Action,Activision,0.65,0.17,0,0.02,0.84
2457,Tiger Woods PGA Tour 11,SONY,PS3,2010,Sports,Electronic Arts,0.37,0.34,0,0.13,0.84
2458,Devil May Cry HD Collection,SONY,PS3,2012,Action,Capcom,0.42,0.21,0.11,0.1,0.84
2459,MLB 16: The Show,SONY,PS4,2016,Action,Sony Computer Entertainment,0.68,0,0,0.16,0.84
2460,NBA 2K10,SONY,PS3,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84
2461,Xenoblade Chronicles X,Nintendo,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84
2463,The Incredibles,Nintendo,GC,2004,Action,THQ,0.65,0.17,0,0.02,0.84
2464,NCAA Football 11,SONY,PS3,2010,Sports,Electronic Arts,0.79,0,0,0.06,0.84
2465,Dragon Age II,SONY,PS3,2011,Action,Electronic Arts,0.4,0.27,0.05,0.12,0.84
2466,ATV Quad Power Racing 2,SONY,PS2,2003,Racing,Acclaim Entertainment,0.41,0.32,0,0.11,0.84
2467,Harvest Moon: Tree of Tranquility,Nintendo,Wii,2007,Simulation,Rising Star Games,0.69,0.03,0.06,0.06,0.84
2468,Final Fantasy,Nintendo,NES,1987,Role-Playing,SquareSoft,0.32,0,0.52,0,0.84
2469,Street Fighter X Tekken,SONY,PS3,2012,Fighting,Capcom,0.42,0.22,0.1,0.1,0.84
2470,Rocket Power: Team Rocket Rescue,SONY,PS,2001,Sports,THQ,0.47,0.32,0,0.05,0.84
2471,Duke Nukem Forever,MICROSOFT,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0,0.07,0.84
2472,Big Mutha Truckers,SONY,PS2,2002,Racing,Empire Interactive,0.41,0.32,0,0.11,0.84
2473,Borderlands: The Handsome Collection,SONY,PS4,2015,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
2474,Rogue Galaxy,SONY,PS2,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84
2475,ESPN College Hoops 2K5,SONY,PS2,2004,Sports,Sega,0.41,0.32,0,0.11,0.84
2476,Metroid: Zero Mission,Nintendo,GBA,2004,Adventure,Nintendo,0.6,0.22,0,0.01,0.84
2478,Time Crisis 4,SONY,PS3,2007,Shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
2479,Ben 10: Protector of Earth,SONY,PS2,2007,Action,D3Publisher,0.09,0,0,0.74,0.84
2480,Need for Speed Rivals,MICROSOFT,X360,2013,Racing,Electronic Arts,0.37,0.38,0.01,0.08,0.84
2481,Q*bert,SONY,PS,1999,Puzzle,Atari,0.46,0.32,0,0.05,0.84
2482,WWE SmackDown vs. Raw 2009,Nintendo,Wii,2008,Fighting,THQ,0.44,0.31,0,0.08,0.83
2483,Ace Combat 3: Electrosphere,SONY,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
2484,Dynasty Warriors 2,SONY,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83
2486,Madden NFL 07,SONY,PSP,2007,Sports,Unknown,0.77,0.03,0,0.04,0.83
2487,Lizzie McGuire 2: Lizzie Diaries,Nintendo,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0,0.01,0.83
2489,FIFA Soccer World Championship,SONY,PS2,2000,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83
2490,Brute Force,MICROSOFT,XB,2003,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83
2491,Dance Central 3,MICROSOFT,X360,2012,Misc,Microsoft Game Studios,0.57,0.2,0,0.06,0.83
2492,Yu-Gi-Oh! Dark Duel Stories,Nintendo,GB,2000,Misc,Konami Digital Entertainment,0,0,0.83,0,0.83
2493,The Game of Life,SONY,PS,1998,Misc,Unknown,0.46,0.31,0,0.05,0.83
2494,Mega Man Legends,SONY,PS,1997,Adventure,Capcom,0.39,0.26,0.12,0.05,0.83
2495,NCAA Football 12,SONY,PS3,2011,Sports,Electronic Arts,0.78,0,0,0.05,0.83
2496,Sly 3: Honor Among Thieves,SONY,PS2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0,0.11,0.83
2497,The Price is Right,Nintendo,Wii,2008,Misc,Ubisoft,0.77,0,0,0.06,0.83
2498,Sid Meier's Civilization Revolution,MICROSOFT,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0,0.07,0.83
2499,MLB SlugFest 20-03,SONY,PS2,2003,Sports,Unknown,0.41,0.32,0,0.11,0.83
2501,The Amazing Spider-Man (Console Version),SONY,PS3,2012,Action,Activision,0.31,0.37,0,0.14,0.83
2502,Dragon Ball: Raging Blast 2,SONY,PS3,2010,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83
2503,MediEvil,SONY,PS,1998,Platform,Sony Computer Entertainment,0.46,0.31,0,0.05,0.83
2504,Casper,SONY,PS,1996,Adventure,Interplay,0.46,0.31,0,0.05,0.83
2505,Deca Sports 2,Nintendo,Wii,2009,Sports,Hudson Soft,0.33,0.34,0.09,0.07,0.82
2506,James Bond 007: Nightfire,MICROSOFT,XB,2002,Shooter,Electronic Arts,0.58,0.22,0,0.03,0.82
2507,Madden NFL 17,MICROSOFT,XOne,2016,Sports,Electronic Arts,0.72,0.02,0,0.09,0.82
2508,Tony Hawk's Underground 2 Remix,SONY,PSP,2005,Sports,Activision,0.46,0.21,0,0.15,0.82
2509,Tony Hawk's Pro Skater 3,Nintendo,GC,2001,Sports,Activision,0.64,0.17,0,0.02,0.82
2510,Marvel: Ultimate Alliance,SONY,PS2,2006,Role-Playing,Activision,0.69,0.03,0,0.11,0.82
2511,Star Wars The Clone Wars: Republic Heroes,Nintendo,Wii,2009,Action,LucasArts,0.44,0.3,0,0.08,0.82
2512,DJ Hero 2,MICROSOFT,X360,2010,Misc,Activision,0.64,0.12,0,0.06,0.82
2513,Street Fighter V,SONY,PS4,2016,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
